Age,Gender,Education Level,Job Title,Years of Experience,Salary
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0
28.0,Female,Master's,Data Analyst,3.0,65000.0
29.0,Male,Master's,Software Developer,3.0,75000.0
29.0,Male,Master's,Data Scientist,3.0,75000.0
41.0,Female,Master's,Data Analyst,13.0,80000.0
31.0,Male,Master's,Data Scientist,6.0,160000.0
28.0,Female,Bachelor's,Software Engineer,3.0,125000.0
27.0,Female,Bachelor's,Data Analyst,2.0,110000.0
30.0,Male,PhD,Data Scientist,5.0,180000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
28.0,Male,Bachelor's,Software Engineer,3.0,125000.0
27.0,Male,Bachelor's,Data Analyst,2.0,110000.0
30.0,Female,PhD,Data Scientist,5.0,180000.0
29.0,Male,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
29.0,Female,Bachelor's,Software Engineer,4.0,140000.0
25.0,Female,Master's,Data Analyst,1.0,100000.0
33.0,Male,PhD,Data Scientist,8.0,190000.0
31.0,Female,Bachelor's,Software Engineer,6.0,155000.0
30.0,Female,Bachelor's,Data Analyst,5.0,145000.0
27.0,Male,PhD,Data Scientist,2.0,115000.0
